generation,kcat_index,mu_log10_kcat
48,kcat_10,5.176588479729632
49,kcat_10,5.176013360142102
0,kcat_11,5.312542138369151
1,kcat_11,5.320475193746194
2,kcat_11,5.298969362110744
3,kcat_11,5.294098294288944
4,kcat_11,5.315714813050597
5,kcat_11,5.296494586036642
6,kcat_11,5.2754112395921
7,kcat_11,5.2666815817805945
8,kcat_11,5.218269405444131
9,kcat_11,5.218946568241522
10,kcat_11,5.2261073961919635
11,kcat_11,5.230570008195088
12,kcat_11,5.23904632140485
13,kcat_11,5.242544772309932
14,kcat_11,5.238028247559546
15,kcat_11,5.240720159160189
16,kcat_11,5.2370120120693695
17,kcat_11,5.233824619077967
18,kcat_11,5.236198941517344
19,kcat_11,5.2335507251233375
20,kcat_11,5.22354051417502
21,kcat_11,5.212209952705795
22,kcat_11,5.211557568084918
23,kcat_11,5.209431712916571
24,kcat_11,5.2148407391017475
25,kcat_11,5.206466764965696
26,kcat_11,5.196534582084767
27,kcat_11,5.199706665594425
28,kcat_11,5.206113232359801
29,kcat_11,5.209383872858045
30,kcat_11,5.20472752115391
31,kcat_11,5.2038468105899724
32,kcat_11,5.189071398461137
33,kcat_11,5.193094532545737
34,kcat_11,5.19292129177393
35,kcat_11,5.19273956969516
36,kcat_11,5.196114863707107
37,kcat_11,5.188236085704265
38,kcat_11,5.192460415687085
39,kcat_11,5.190753463113261
40,kcat_11,5.188336639013899
41,kcat_11,5.186824831768551
42,kcat_11,5.188572300180696
43,kcat_11,5.204297697286472
44,kcat_11,5.210242581865213
45,kcat_11,5.210438432142112
46,kcat_11,5.207126586114505
47,kcat_11,5.196835669623577
48,kcat_11,5.195207472247402
49,kcat_11,5.19835214892907
0,kcat_12,5.054449631047647
1,kcat_12,5.067769623963324
2,kcat_12,5.094712404779219
3,kcat_12,5.095936055873054
4,kcat_12,5.089200419052078
5,kcat_12,5.0755902164554
6,kcat_12,5.090755912189059
7,kcat_12,5.1020360332979395
8,kcat_12,5.093347330074161
9,kcat_12,5.094851590182899
10,kcat_12,5.086988232696951
11,kcat_12,5.081744326407093
12,kcat_12,5.0799161264202075
13,kcat_12,5.067691123525811
14,kcat_12,5.070382777602364
15,kcat_12,5.047899012464531
16,kcat_12,5.046790514201971
17,kcat_12,5.054187833245779
18,kcat_12,5.049616438438813
19,kcat_12,5.042028261561318
20,kcat_12,5.053086583429934
21,kcat_12,5.045390994773803
22,kcat_12,5.040014249896334
23,kcat_12,5.039082782353369
24,kcat_12,5.038058608624007
25,kcat_12,5.034032044041073
