Value,Category,Type
0.35227000500265376,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3520625924991611,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3517827595106925,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35162762382125357,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3510920256675732,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35090090509540744,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3507251474255427,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3506749307083302,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.350622395828103,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.35027488854361033,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.3500840447169538,GAN+<i>V</i><sub>syn</sub>,Corr_All
