NAME,ENTRY,Gene_name,Protein_name_x,half_life_x,Protein_name_y,half_life_y,half_life_all_x,half_life_all_y,kdeg
YDR074W,P31688,YDR074W,P31688,6.390220977,P31688,9.710852,6.390220977,9.710852,0.071378616
YDR093W,Q12675,YDR093W,Q12675,2.042115229,Q12675,11.33992,2.042115229,11.33992,0.061124521
YDR098C,Q03835,YDR098C,Q03835,2.206830264,Q03835,13.61224,2.206830264,13.61224,0.050920876
YDR109C,Q04585,YDR109C,,,Q04585,8.150041,8.150041,8.150041,0.085048306
YDR111C,P52892,YDR111C,P52892,4.248713265,P52892,5.290417,4.248713265,5.290417,0.131019385
YDR127W,P08566,YDR127W,P08566,2.336994027,P08566,12.04712,2.336994027,12.04712,0.057536339
YDR147W,Q03764,YDR147W,Q03764,,Q03764,5.787525,5.787525,5.787525,0.119765734
YDR148C,P19262,YDR148C,P19262,3.550955141,P19262,8.843936,3.550955141,8.843936,0.078375418
YDR158W,P13663,YDR158W,P13663,2.417815817,P13663,17.29807,2.417815817,17.29807,0.040070781
YDR173C,P07250,YDR173C,P07250,,P07250,7.549648,7.549648,7.549648,0.091811854
YDR178W,P37298,YDR178W,P37298,3.988893108,P37298,5.830828,3.988893108,5.830828,0.118876287
YDR191W,P53688,YDR191W,,,P53688,11.64116,11.64116,11.64116,0.059542793
YDR196C,Q03941,YDR196C,Q03941,2.751562624,Q03941,13.66613,2.751562624,13.66613,0.050720078
YDR204W,O13525,YDR204W,O13525,2.2187187,O13525,8.383154,2.2187187,8.383154,0.082683341
YDR208W,P38994,YDR208W,P38994,1.04793894,P38994,3.555023,1.04793894,3.555023,0.194976848
YDR226W,P07170,YDR226W,P07170,2.563224259,P07170,12.16954,2.563224259,12.16954,0.05695755
YDR231C,Q04935,YDR231C,Q04935,4.486820309,Q04935,9.269344,4.486820309,9.269344,0.07477845
YDR232W,P09950,YDR232W,P09950,1.455730816,P09950,8.677604,1.455730816,8.677604,0.079877715
YDR234W,P49367,YDR234W,P49367,2.719705877,P49367,10.51274,2.719705877,10.51274,0.065934017
YDR236C,Q03778,YDR236C,Q03778,3.31540365,Q03778,1.614979,3.31540365,1.614979,0.429198882
YDR248C,Q03786,YDR248C,Q03786,3.056620927,Q03786,10.57199,3.056620927,10.57199,0.065564495
YDR261C,Q07793,YDR261C,P52911,2.940251633,P52911,4.666703,2.940251633,4.666703,0.148530382
YDR268W,P04803,YDR268W,P04803,9.931797429,P04803,9.772502,9.931797429,9.772502,0.070928323
YDR272W,Q05584,YDR272W,Q05584,1.980606758,Q05584,7.161036,1.980606758,7.161036,0.09679426
YDR284C,Q05521,YDR284C,,,Q05521,28.74126,28.74126,28.74126,0.024116799
YDR287W,Q05533,YDR287W,Q05533,,Q05533,8.132236,8.132236,8.132236,0.085234514
YDR294C,Q05567,YDR294C,Q05567,3.169390677,Q05567,8.520986,3.169390677,8.520986,0.081345889
YDR297W,P38992,YDR297W,P38992,2.785784823,P38992,6.510046,2.785784823,6.510046,0.106473469
YDR298C,P09457,YDR298C,P09457,2.643602515,P09457,7.248122,2.643602515,7.248122,0.095631279
YDR300C,P32264,YDR300C,P32264,1.58284951,P32264,10.87729,1.58284951,10.87729,0.063724253
YDR305C,P49775,YDR305C,P49775,2.611151481,P49775,9.352796,2.611151481,9.352796,0.074111226
YDR321W,P38986,YDR321W,P38986,1.435522713,P38986,10.84796,1.435522713,10.84796,0.063896546
YDR322C-A,P81449,YDR322C-A,P81449,2.357640339,P81449,6.795125,2.357640339,6.795125,0.102006539
