Gene,kdeg_x,kdeg_y,vsyn_x,vsyn_y
YHL032C,0.310040533,0.102051249,9.98E-06,1.51E-05
YER062C,0.236013295,0.05846245,2.32E-06,3.56E-06
YIL053W,0.450203278,0.047419061,2.00E-06,2.80E-06
YIL155C,0.26872572,0.178668238,6.64E-07,1.10E-06
YDL022W,0.153745355,0.028311031,2.39E-06,2.00E-06
YOL059W,0.490452311,0.065639559,2.69E-07,3.87E-07
YPL110C,0.379325516,0.094196125,8.95E-09,2.22E-08
YDR408C,0.118255803,0.080671376,1.97E-06,3.12E-06
YAL044C,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR019C,0.169218834,0.071646911,9.98E-06,1.51E-05
YFL018C,0.223508306,0.069485827,1.14E-05,2.11E-05
YMR189W,0.192880588,0.104616673,1.74E-06,2.72E-06
YLR058C,0.188060571,0.081505639,9.53E-05,0.000151152
YBR263W,0.387555978,0.075902169,7.12E-06,6.28E-06
YDR148C,0.195200208,0.078375418,9.98E-06,1.51E-05
YIL125W,0.2190666,0.080629824,7.97E-07,1.12E-06
YFR015C,0.310040533,0.102051249,9.98E-06,1.51E-05
YJL137C,0.310040533,0.102051249,9.98E-06,1.51E-05
YKR058W,0.310040533,0.102051249,9.98E-06,1.51E-05
