error,corr,pvalue,number,RMSE
4.035100928,0.428773505,1.39E-11,271.9375,7.106476241
4.102729798,0.41050386,1.36E-10,276.5625,4.058979022
4.0174668,0.416785209,1.13E-10,278.75,6.335977068
4.003678025,0.410212174,7.89E-10,275.5625,5.992331717
4.007440583,0.395024972,5.80E-08,279.1875,4.493844415
4.135223103,0.433924574,8.21E-09,275.25,5.616918769
3.977076167,0.398169461,2.61E-08,276.9375,5.393409099
4.087898884,0.416687948,5.06E-10,270.8125,4.945253429
3.982745472,0.419486754,1.26E-08,276.25,7.288375668
4.002157987,0.399987991,1.36E-09,276.875,5.10152037
4.025121146,0.393460878,8.60E-10,280.375,4.043476746
4.183037909,0.43761713,5.28E-12,280.5625,5.0609684
4.015289371,0.388704831,9.92E-10,284,3.794472163
4.025884519,0.401191664,9.50E-11,283.375,4.769294016
4.07361212,0.41657913,4.87E-09,280.5625,5.269398761
4.020688027,0.398703144,1.49E-06,273.8125,4.645250461
4.034275601,0.398412249,1.28E-07,279.625,4.354376666
4.058290401,0.413966197,1.87E-12,282.75,5.34275696
3.862614371,0.392833342,4.04E-08,271.9375,7.23219989
4.165604864,0.430209245,6.55E-13,275.875,4.756363556
4.113219818,0.415272008,7.88E-10,267.5625,4.394925319
4.038203657,0.398787301,9.49E-12,282.9375,4.333192449
4.044703101,0.403492248,1.60E-09,278.25,4.653314287
4.0651348,0.404581067,3.70E-08,274.375,4.361349852
4.148391241,0.426054813,7.09E-10,285.1875,4.740485623
4.055523558,0.418314635,1.17E-11,278.875,5.859214691
4.025401752,0.427491672,3.05E-07,275.625,7.325749346
4.056911692,0.418120355,1.60E-09,275.75,5.824524517
4.062132078,0.41354967,2.76E-10,276.4375,5.294780462
4.069401813,0.405350549,3.53E-11,274.0625,4.392434969
4.007817506,0.388337588,9.85E-08,278.625,4.01987648
3.937056532,0.376269227,5.77E-09,276.9375,4.299583786
4.039087271,0.396627325,1.95E-09,273.8125,4.192252706
4.024484043,0.401771754,2.82E-09,273.875,4.964701246
3.98473077,0.385781487,4.36E-10,273.25,4.260311501
4.094068438,0.412912139,8.12E-10,271.9375,4.645541867
4.012172356,0.403235182,1.96E-08,275.75,5.364348792
4.094817114,0.410854858,2.14E-10,273.625,4.445404591
4.16235069,0.427238915,2.61E-09,280.375,4.652439996
4.047002933,0.415290607,3.07E-08,269.0625,5.814909018
4.061130644,0.419959675,1.18E-08,280.625,5.986392936
3.904805926,0.399492842,3.51E-11,270.5625,7.172968814
4.024452171,0.388530678,4.39E-09,272.6875,3.777496758
4.041362494,0.4064763,5.43E-10,279.25,5.127493643
4.11250373,0.413323503,5.82E-12,277.625,4.366117675
4.122958121,0.417470561,5.05E-09,269.375,4.549952794
4.094613948,0.417249483,8.37E-12,288.4375,5.098031848
4.015302495,0.395974663,7.76E-11,278.3125,4.673228132
4.126510272,0.42397091,3.40E-11,281.25,5.102064187
3.991616553,0.382419301,4.71E-08,281.25,3.881221562
4.095007374,0.408735353,1.23E-09,282.25,4.305616278
4.047250525,0.399115511,6.48E-08,273.625,4.349133052
4.007690192,0.391776678,7.73E-09,280.1875,4.449078909
3.985973778,0.395233153,9.75E-11,280.0625,5.204639785
3.981653583,0.410591206,8.49E-07,277.3125,6.730724344
4.058027277,0.414524844,6.23E-08,275.8125,5.596197238
4.007924407,0.392115291,3.22E-09,270.4375,4.486634243
4.111574527,0.422324967,3.71E-10,280.125,5.278367865
3.986181511,0.405878555,9.97E-12,273,6.219159262
4.047804831,0.393884605,0.000125202,278.1875,3.877707136
3.964703807,0.387230215,9.80E-08,280.6875,4.899876603
3.996124005,0.412874635,5.03E-10,280.625,6.701640846
3.92027149,0.393243516,3.91E-08,273.5625,6.364507384
3.994468576,0.388038908,5.95E-10,276.375,4.408724594
3.951609302,0.378275854,1.65E-09,281.625,4.34567852
4.082073533,0.4089996,3.10E-10,282.9375,4.649876706
4.125709225,0.425082469,1.47E-10,277,5.303211521
