geneID,yli_prot.1,proteinID
Yarrowia_lipolytica_Seq_491,9.462337500000001e-07,Lipomyces_starkeyi_Seq_8757
Yarrowia_lipolytica_Seq_4910,2.8775062249999997e-05,YAL054C
Yarrowia_lipolytica_Seq_4915,1.027333275e-05,YJR105W
Yarrowia_lipolytica_Seq_4946,2.9435925e-07,YDR481C
Yarrowia_lipolytica_Seq_4951,3.76077e-07,YJR019C
Yarrowia_lipolytica_Seq_496,3.881552999999999e-06,YGL012W
Yarrowia_lipolytica_Seq_4961,3.1411125e-06,YLR438W
Yarrowia_lipolytica_Seq_4996,3.68178075e-06,YLL001W
Yarrowia_lipolytica_Seq_5006,3.3143953749999995e-05,YLR109W
Yarrowia_lipolytica_Seq_5018,1.959345e-07,YPR060C
Yarrowia_lipolytica_Seq_5058,1.437326075e-05,YFL053W
Yarrowia_lipolytica_Seq_5076,1.392728775e-05,YDL185W
Yarrowia_lipolytica_Seq_5137,5.00641425e-06,YFL022C
Yarrowia_lipolytica_Seq_5140,3.7206499999999996e-08,YBR208C
Yarrowia_lipolytica_Seq_5158,7.711273925e-05,YHL032C
Yarrowia_lipolytica_Seq_5178,2.8001575000000003e-07,YNL274C
Yarrowia_lipolytica_Seq_518,1.8421237499999999e-06,YPR033C
Yarrowia_lipolytica_Seq_519,1.5294993249999998e-05,YHR019C
Yarrowia_lipolytica_Seq_5199,6.087780749999999e-06,YDR148C
Yarrowia_lipolytica_Seq_5209,3.87520625e-06,YBL039C
Yarrowia_lipolytica_Seq_5211,3.27956025e-06,YKL103C
Yarrowia_lipolytica_Seq_5213,1.0193042e-05,YMR110C
Yarrowia_lipolytica_Seq_524,3.699263e-06,YDR305C
Yarrowia_lipolytica_Seq_5244,1.2671939000000001e-05,YHR104W
Yarrowia_lipolytica_Seq_5260,6.762654e-06,YGR019W
Yarrowia_lipolytica_Seq_5264,1.5796075e-07,Geotrichum_candidum_Seq_5627
Yarrowia_lipolytica_Seq_5280,1.407283825e-05,YHR046C
Yarrowia_lipolytica_Seq_5283,1.16711425e-06,YFL030W
Yarrowia_lipolytica_Seq_529,3.7291967250000004e-05,YER178W
Yarrowia_lipolytica_Seq_5314,1.6920718e-05,YDR036C
Yarrowia_lipolytica_Seq_5318,1.2448225e-08,YDR093W
Yarrowia_lipolytica_Seq_5330,1.7133055e-06,YBR029C
Yarrowia_lipolytica_Seq_5347,9.418076e-06,YNL202W
Yarrowia_lipolytica_Seq_536,9.917806500000001e-06,YNR016C
Yarrowia_lipolytica_Seq_5364,1.2526375e-07,YDR062W
Yarrowia_lipolytica_Seq_5366,2.1941606e-05,yHMPu5000034673_Blastobotrys_nivea_Seq_8232
Yarrowia_lipolytica_Seq_5375,3.03613775e-06,YGR193C
Yarrowia_lipolytica_Seq_5437,8.81855725e-06,YFR044C
Yarrowia_lipolytica_Seq_5443,1.3723123249999998e-05,YKL148C
Yarrowia_lipolytica_Seq_545,1.5675425e-07,YDR044W
Yarrowia_lipolytica_Seq_5450,1.59974275e-06,YOR332W
Yarrowia_lipolytica_Seq_5451,2.39328875e-06,YKL141W
Yarrowia_lipolytica_Seq_547,1.5278675e-07,yHMPu5000034990_Candida_corydali_Seq_3601
Yarrowia_lipolytica_Seq_5475,1.18107575e-06,YCR034W
Yarrowia_lipolytica_Seq_5485,5.34535e-07,YGL039W
Yarrowia_lipolytica_Seq_5489,6.0671535e-06,YOR323C
Yarrowia_lipolytica_Seq_5497,6.176175e-08,YHR137W
Yarrowia_lipolytica_Seq_5498,8.655032925e-05,YKL067W
Yarrowia_lipolytica_Seq_5526,5.5652475e-07,YMR278W
Yarrowia_lipolytica_Seq_5527,5.16933e-07,YJL155C
Yarrowia_lipolytica_Seq_5530,4.6446024999999997e-07,YOR095C
Yarrowia_lipolytica_Seq_5573,7.31615e-08,YHR072W
Yarrowia_lipolytica_Seq_5599,1.08052725e-06,Metschnikowia_hamakuensis_Seq_2035
Yarrowia_lipolytica_Seq_5655,1.4785314750000001e-05,YJL200C
Yarrowia_lipolytica_Seq_5660,8.7892535e-06,YJR139C
Yarrowia_lipolytica_Seq_5667,8.448620000000001e-07,YDR516C
Yarrowia_lipolytica_Seq_5673,1.0792334000000001e-05,YML042W
Yarrowia_lipolytica_Seq_5708,1.2529586500000003e-05,YEL046C
Yarrowia_lipolytica_Seq_5712,8.35895e-07,YDL095W
Yarrowia_lipolytica_Seq_573,2.3023125e-07,YGL001C
Yarrowia_lipolytica_Seq_5747,4.30116025e-06,YDR508C
Yarrowia_lipolytica_Seq_5759,2.06827025e-06,Fusarium_graminearum_Seq_4803
Yarrowia_lipolytica_Seq_5781,6.2680272499999995e-06,YCL017C
Yarrowia_lipolytica_Seq_5787,6.4589204999999995e-06,YDR023W
Yarrowia_lipolytica_Seq_580,1.7656775000000002e-07,YKL103C
