protein,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
YOR040W,-0.06817240066821098,0.3849771333836032,1.2194514922251802,-1.5362562249405718
YOR065W,0.6159617558513096,1.236055314026069,-0.4913967757570629,-1.3606202941203145
YOR095C,-0.4629205083600258,-0.28871531859307964,1.683462716083448,-0.9318268891303424
YOR100C,-0.6096489591026379,1.2598302703730921,-1.2815915620002043,0.6314102507297517
YOR136W,1.4179984372165049,0.05585920767000325,-0.06609650275567652,-1.4077611421308296
YOR142W,0.10289239825011845,0.039801938151434166,1.338909567872692,-1.481603904274246
YOR176W,-0.4666514368699902,-0.8635965805556255,-0.372097637944119,1.7023456553697347
YOR184W,1.013153802922562,-1.6308726967051324,0.060882328090679914,0.5568365656918894
YOR303W,1.3934955118585224,-1.3322999463113183,-0.4056142243249633,0.34441865877775857
YOR317W,0.023927367596623884,-0.5033567775430263,-1.1077149139718145,1.5871443239182161
YOR323C,1.0625706814837785,0.7832133980881301,-1.4492288548130732,-0.3965552247588353
YOR332W,-0.8931005274917408,-0.5223134516164356,-0.27409282199791074,1.6895068011060865
YOR347C,1.1411299731763023,-0.1448212620588225,0.5460040764931336,-1.5423127876106133
YPL023C,-1.3555103887799733,0.7691086253715479,1.1296009038898884,-0.5431991404814629
YPL028W,-0.5580915570600742,-0.9567371572190542,1.659033680671504,-0.14420496639237682
YPL078C,1.1439019426741193,-0.5096290359252722,0.7389448718961363,-1.373217778644981
YPL091W,1.4323317363573778,-1.3927011215795881,-0.08315601373395928,0.043525398956171836
YPL117C,0.780802702829454,-1.2441033463666418,-0.6998082816224958,1.1631089251596827
YPL134C,-1.6999345174267548,0.432983512200546,0.8785933210205957,0.38835768420561245
YPL231W,-0.13577172623300093,0.5275777619133554,1.1506614549371939,-1.5424674906175582
YPL262W,-1.4550950870298516,0.6941429875571629,1.1259087266699694,-0.36495662719727795
YPL265W,-0.3623924661819112,-0.5474603130698724,-0.8010678114180334,1.7109205906698162
YPR002W,-0.31853306279300864,-0.183569202258548,-1.1162062853741788,1.6183085504257348
YPR035W,-1.2794516095485549,0.07874374260791979,1.5047745521420572,-0.30406668520142305
YPR069C,0.0056377183077716535,-0.3050096269295273,-1.239940897361304,1.5393128059830588
YPR127W,-1.7144781244588236,0.44917986607890764,0.46189731026573055,0.8034009481141855
YPR145W,-0.6234341477595532,-0.6319450708783056,-0.47321610860291685,1.728595327240776
YPR160W,-1.1941044305419313,1.577837480165379,-0.26575146393615895,-0.11798158568728763
YPR183W,-0.6500848533879212,-0.43678206004829845,-0.6389309692636561,1.7257978826998757
YPR191W,0.1326912533980631,1.2671278487985076,-1.5356826323331718,0.13586353013659797
